Time,Event
2026/06/28 12:40,began clearing out basement
2026/06/28 16:20,removed carpet and underlay and carpet grippers leaving the room bare then re-added a couple of boxes and a few other things
2026/07/01 21:00,dehumidifier installed in centre of room and extractor fan turned off set to 50% RH
2026/07/02 14:35,added a small fan to introduce airflow pointing at the wall with the radiator
2026/07/02 14:40,moved the temperature humidity sensor from the wall with the radiator to a box near the extractor fan
2026/07/02 18:30,(uncertain timestamp) dehumidifier rotated in place so that the intake faces away from the wetter side of the room and box moved which may have affected airflow
2026/07/02 21:00,(uncertain timestamp) dehumidifier rotated in place so that the intake faces the wetter side of the room
2026/07/05 00:51:03,dehumidifer tank full
2026/07/11 01:46:29,dehumidifer tank full
2026/07/15 07:31:16,dehumidifer tank full
2026/07/23 21:42:08,dehumidifer tank full
2026/07/29 15:39:48,dehumidifer tank full
